Name,Year,votes,rating,Genre,Action,Adventure,Comedy,Crime,Drama,Fantasy,Horror,Romance,Start Year,End Year
Fullmetal Alchemist: Brotherhood,2009–2010,"175,254",9.1,"Action, Adventure",1,1,0,0,0,0,0,0,2009,2010
One Punch Man,2015–2019,"166,592",8.7,"Action, Comedy",1,0,1,0,0,0,0,0,2015,2019
Death Note,2006–2007,"336,663",9.0,"Crime, Drama",0,0,0,1,1,0,0,0,2006,2007
Cowboy Bebop,1998–1999,"124,505",8.9,"Action, Adventure",1,1,0,0,0,0,0,0,1998,1999
Hunter x Hunter,2011–2014,"107,827",9.0,"Action, Adventure",1,1,0,0,0,0,0,0,2011,2014
Steins;Gate,2011–2015,"65,239",8.8,"Comedy, Drama",0,0,1,0,1,0,0,0,2011,2015
Attack on Titan,2013–2023,"400,344",9.0,"Action, Adventure",1,1,0,0,0,0,0,0,2013,2023
Dragon Ball Z,1989–1996,"135,161",8.8,"Action, Adventure",1,1,0,0,0,0,0,0,1989,1996
Dragon Ball Z,1989–1996,"81,904",8.8,"Action, Adventure",1,1,0,0,0,0,0,0,1989,1996
One Piece,1999– ,"134,936",8.9,"Action, Adventure",1,1,0,0,0,0,0,0,1999,1999
Code Geass,2006–2008,"71,387",8.7,"Action, Drama",1,0,0,0,1,0,0,0,2006,2008
Fullmetal Alchemist,2003–2004,"72,734",8.5,"Action, Adventure",1,1,0,0,0,0,0,0,2003,2004
Monster,2004–2005,"34,127",8.7,"Crime, Drama",0,0,0,1,1,0,0,0,2004,2005
Berserk,1997–1998,"42,676",8.7,"Action, Adventure",1,1,0,0,0,0,0,0,1997,1998
Rurouni Kenshin: Trust and Betrayal,1999,"15,243",8.6,"Action, Adventure",1,1,0,0,0,0,0,0,1999,1999
Samurai Champloo,2004–2005,"50,785",8.6,"Action, Adventure",1,1,0,0,0,0,0,0,2004,2005
Rurouni Kenshin,1996–1998,"19,716",8.5,"Action, Adventure",1,1,0,0,0,0,0,0,1996,1998
Neon Genesis Evangelion,1995–1996,"73,907",8.5,"Action, Drama",1,0,0,0,1,0,0,0,1995,1996
Dragon Ball,1986–1989,"59,966",8.6,"Action, Adventure",1,1,0,0,0,0,0,0,1986,1989
Dragon Ball,1995–2003,"61,401",8.6,"Action, Adventure",1,1,0,0,0,0,0,0,1995,2003
Ghost in the Shell: Stand Alone Complex,2002–2005,"20,151",8.5,"Action, Crime",1,0,0,1,0,0,0,0,2002,2005
Naruto: Shippuden,2007–2017,"133,837",8.7,"Action, Adventure",1,1,0,0,0,0,0,0,2007,2017
Parasyte: The Maxim,2014–2015,"41,054",8.3,"Action, Drama",1,0,0,0,1,0,0,0,2014,2015
Mushi-Shi,2005–2014,"13,867",8.5,"Drama, Fantasy",0,0,0,0,1,1,0,0,2005,2014
Yu Yu Hakusho: Ghost Files,1992–1995,"14,257",8.5,"Action, Adventure",1,1,0,0,0,0,0,0,1992,1995
Hellsing Ultimate,2006–2012,"24,408",8.2,"Action, Fantasy",1,0,0,0,0,1,0,0,2006,2012
Detective Conan,1996– ,"13,826",8.5,"Action, Comedy",1,0,1,0,0,0,0,0,1996,1996
Ouran High School Host Club,2006,"10,661",8.2,"Comedy, Romance",0,0,1,0,0,0,0,1,2006,2006
Baccano!,2007–2008,"12,139",8.2,"Action, Adventure",1,1,0,0,0,0,0,0,2007,2008
Dragon Ball Z Kai,2009–2015,"23,341",8.3,"Action, Adventure",1,1,0,0,0,0,0,0,2009,2015
Trigun,1998,"22,650",8.2,"Action, Adventure",1,1,0,0,0,0,0,0,1998,1998
Gurren Lagann,2007,"19,146",8.3,"Action, Adventure",1,1,0,0,0,0,0,0,2007,2007
FLCL,2000–2001,"18,414",8.1,"Action, Comedy",1,0,1,0,0,0,0,0,2000,2001
Psycho-Pass,2012– ,"20,170",8.2,"Action, Crime",1,0,0,1,0,0,0,0,2012,2012
Bleach,2004–2012,"59,395",8.2,"Action, Adventure",1,1,0,0,0,0,0,0,2004,2012
Dragon Ball Super,2015–2018,"31,701",8.3,"Action, Adventure",1,1,0,0,0,0,0,0,2015,2018
Fairy Tail,2009–2019,"25,677",7.9,"Action, Adventure",1,1,0,0,0,0,0,0,2009,2019
Naruto,2002–2007,"108,303",8.4,"Action, Adventure",1,1,0,0,0,0,0,0,2002,2007
Serial Experiments Lain,1998,"14,854",8.1,"Drama, Horror",0,0,0,0,1,0,1,0,1998,1998
Paranoia Agent,2004,"12,757",8.0,"Drama, Horror",0,0,0,0,1,0,1,0,2004,2004
Elfen Lied,2004,"34,499",7.9,"Action, Drama",1,0,0,0,1,0,0,0,2004,2004
Claymore,2007,"14,243",8.0,"Action, Adventure",1,1,0,0,0,0,0,0,2007,2007
Tokyo Ghoul,2014,"56,719",7.8,"Action, Drama",1,0,0,0,1,0,0,0,2014,2014
Black Lagoon,2006,"15,991",7.9,"Action, Adventure",1,1,0,0,0,0,0,0,2006,2006
Ergo Proxy,2006,"14,941",7.9,"Action, Adventure",1,1,0,0,0,0,0,0,2006,2006
Wolf's Rain,2003–2004,"7,957",7.9,"Action, Adventure",1,1,0,0,0,0,0,0,2003,2004
Akame ga Kill!,2014,"25,839",7.8,"Action, Adventure",1,1,0,0,0,0,0,0,2014,2014
KILL la KILL,2013–2014,"15,196",7.9,"Action, Comedy",1,0,1,0,0,0,0,0,2013,2014
Darker Than Black,2007–2010,"12,060",7.7,"Action, Drama",1,0,0,0,1,0,0,0,2007,2010
The Melancholy of Haruhi Suzumiya,2006–2009,"8,713",7.8,"Comedy, Fantasy",0,0,1,0,0,1,0,0,2006,2009
Hellsing,2001– ,"17,033",7.8,"Action, Fantasy",1,0,0,0,0,1,0,0,2001,2001
Soul Eater,2008–2009,"13,500",7.8,"Action, Adventure",1,1,0,0,0,0,0,0,2008,2009
Angel Beats!,2010,"15,102",7.6,"Action, Comedy",1,0,1,0,0,0,0,0,2010,2010
Sword Art Online,2012– ,"47,782",7.5,"Action, Adventure",1,1,0,0,0,0,0,0,2012,2012
The Future Diary,2011–2013,"18,335",7.5,"Action, Drama",1,0,0,0,1,0,0,0,2011,2013
Inuyasha,2000–2004,"16,837",7.9,"Action, Adventure",1,1,0,0,0,0,0,0,2000,2004
Afro Samurai,2007,"17,281",7.6,"Action, Adventure",1,1,0,0,0,0,0,0,2007,2007
Blue Exorcist,2011,"13,916",7.4,"Action, Drama",1,0,0,0,1,0,0,0,2011,2011
Sailor Moon,1995–2000,"12,825",7.6,"Action, Adventure",1,1,0,0,0,0,0,0,1995,2000
Deadman Wonderland,2011,"11,164",7.1,"Action, Drama",1,0,0,0,1,0,0,0,2011,2011
